カード名,分類,フル画像,背景透過画像,ぷちでれら
[Happy・New・Yeah!]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HappyNewYeah/HappyNewYeah.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HappyNewYeah/HappyNewYeahTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HappyNewYeah/HappyNewYeahPuchiDerela.png
[Happy・New・Yeah!]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HappyNewYeah+/HappyNewYeah+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HappyNewYeah+/HappyNewYeah+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HappyNewYeah+/HappyNewYeah+PuchiDerela.png
[凸凹スピードスター]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DekobokoSpeedStar/DekobokoSpeedStar.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DekobokoSpeedStar/DekobokoSpeedStarTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DekobokoSpeedStar/DekobokoSpeedStarPuchiDerela.png
[凸凹スピードスター]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DekobokoSpeedStar+/DekobokoSpeedStar+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DekobokoSpeedStar+/DekobokoSpeedStar+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DekobokoSpeedStar+/DekobokoSpeedStar+PuchiDerela.png
[オーダーメイド・はぁと]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/OrderMadeHeart/OrderMadeHeart.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/OrderMadeHeart/OrderMadeHeartTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/OrderMadeHeart/OrderMadeHeartPuchiDerela.png
[オーダーメイド・はぁと]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/OrderMadeHeart+/OrderMadeHeart+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/OrderMadeHeart+/OrderMadeHeart+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/OrderMadeHeart+/OrderMadeHeart+PuchiDerela.png
[ラグジュアリィ・はぁと]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/LuxuryHeart/LuxuryHeart.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/LuxuryHeart/LuxuryHeartTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/LuxuryHeart/LuxuryHeartPuchiDerela.png
[ラグジュアリィ・はぁと]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/LuxuryHeart+/LuxuryHeart+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/LuxuryHeart+/LuxuryHeart+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/LuxuryHeart+/LuxuryHeart+PuchiDerela.png
[Go Just Go!]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/GoJustGo/GoJustGo.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/GoJustGo/GoJustGoTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/GoJustGo/GoJustGoPuchiDerela.png
[Go Just Go!]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/GoJustGo+/GoJustGo+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/GoJustGo+/GoJustGo+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/GoJustGo+/GoJustGo+PuchiDerela.png
[躍るFlagship]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/OdoruFlagship/OdoruFlagship.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/OdoruFlagship/OdoruFlagshipTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/OdoruFlagship/OdoruFlagshipPuchiDerela.png
[躍るFlagship]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/OdoruFlagship+/OdoruFlagship+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/OdoruFlagship+/OdoruFlagship+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/OdoruFlagship+/OdoruFlagship+PuchiDerela.png
[はぁとふる☆sweeteen]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartfulSweeteen/HeartfulSweeteen.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartfulSweeteen/HeartfulSweeteenTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartfulSweeteen/HeartfulSweeteenPuchiDerela.png
[はぁとふる☆sweeteen]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartfulSweeteen+/HeartfulSweeteen+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartfulSweeteen+/HeartfulSweeteen+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartfulSweeteen+/HeartfulSweeteen+PuchiDerela.png
[CoCo夏夏夏Holiday]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/CoCoNatsuNatsuNatsuHoliday/CoCoNatsuNatsuNatsuHoliday.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/CoCoNatsuNatsuNatsuHoliday/CoCoNatsuNatsuNatsuHolidayTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/CoCoNatsuNatsuNatsuHoliday/CoCoNatsuNatsuNatsuHolidayPuchiDerela.png
[CoCo夏夏夏Holiday]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/CoCoNatsuNatsuNatsuHoliday+/CoCoNatsuNatsuNatsuHoliday+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/CoCoNatsuNatsuNatsuHoliday+/CoCoNatsuNatsuNatsuHoliday+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/CoCoNatsuNatsuNatsuHoliday+/CoCoNatsuNatsuNatsuHoliday+PuchiDerela.png
[恋するスウィーティーサマー]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/KoisuruSweetieSummer/KoisuruSweetieSummer.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/KoisuruSweetieSummer/KoisuruSweetieSummerTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/KoisuruSweetieSummer/KoisuruSweetieSummerPuchiDerela.png
[恋するスウィーティーサマー]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/KoisuruSweetieSummer+/KoisuruSweetieSummer+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/KoisuruSweetieSummer+/KoisuruSweetieSummer+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/KoisuruSweetieSummer+/KoisuruSweetieSummer+PuchiDerela.png
[ダンシング・デッド]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DancingDead/DancingDead.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DancingDead/DancingDeadTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DancingDead/DancingDeadPuchiDerela.png
[ダンシング・デッド]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DancingDead+/DancingDead+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DancingDead+/DancingDead+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DancingDead+/DancingDead+PuchiDerela.png
[愛されクイーン・はぁと]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/AisareQueenHeart/AisareQueenHeart.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/AisareQueenHeart/AisareQueenHeartTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/AisareQueenHeart/AisareQueenHeartPuchiDerela.png
[愛されクイーン・はぁと]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/AisareQueenHeart+/AisareQueenHeart+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/AisareQueenHeart+/AisareQueenHeart+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/AisareQueenHeart+/AisareQueenHeart+PuchiDerela.png
[ド根性☆レポーター]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DokonjyoReporter/DokonjyoReporter.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DokonjyoReporter/DokonjyoReporterTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DokonjyoReporter/DokonjyoReporterPuchiDerela.png
[ド根性☆レポーター]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DokonjyoReporter+/DokonjyoReporter+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DokonjyoReporter+/DokonjyoReporter+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/DokonjyoReporter+/DokonjyoReporter+PuchiDerela.png
[真夏の☆はぁとミーツハート]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/ManatsuNoHeartMeetsHeart/ManatsuNoHeartMeetsHeart.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/ManatsuNoHeartMeetsHeart/ManatsuNoHeartMeetsHeartTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/ManatsuNoHeartMeetsHeart/ManatsuNoHeartMeetsHeartPuchiDerela.png
[真夏の☆はぁとミーツハート]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/ManatsuNoHeartMeetsHeart+/ManatsuNoHeartMeetsHeart+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/ManatsuNoHeartMeetsHeart+/ManatsuNoHeartMeetsHeart+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/ManatsuNoHeartMeetsHeart+/ManatsuNoHeartMeetsHeart+PuchiDerela.png
[この世でただひとりのはぁと]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/KonoyoDeTadaHitoriNoHeart/KonoyoDeTadaHitoriNoHeart.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/KonoyoDeTadaHitoriNoHeart/KonoyoDeTadaHitoriNoHeartTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/KonoyoDeTadaHitoriNoHeart/KonoyoDeTadaHitoriNoHeartPuchiDerela.png
[この世でただひとりのはぁと]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/KonoyoDeTadaHitoriNoHeart+/KonoyoDeTadaHitoriNoHeart+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/KonoyoDeTadaHitoriNoHeart+/KonoyoDeTadaHitoriNoHeart+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/KonoyoDeTadaHitoriNoHeart+/KonoyoDeTadaHitoriNoHeart+PuchiDerela.png
通常サイン,その他,,,
プレミアムサイン,その他,,,
