アイドル名,名前,属性,属性カラー,イメージカラー
東郷あい,あい,クール,#006aff,#9b274a
道明寺歌鈴,歌鈴,キュート,#ef2782,#d22630
十時愛梨,愛梨,パッション,#f49207,#df4661
長富蓮実,蓮実,キュート,#ef2782,#ea8a91
中野有香,有香,キュート,#ef2782,#e277cd
ナターリア,ナターリア,パッション,#f49207,#f4633a
並木芽衣子,芽衣子,パッション,#f49207,#feea9c
成宮由愛,由愛,クール,#006aff,#2b5cd5
南条光,光,パッション,#f49207,#e4002b
難波笑美,笑美,パッション,#f49207,#e03c31
西川保奈美,保奈美,クール,#006aff,#5756d8
西島櫂,櫂,パッション,#f49207,#f16029
新田美波,美波,クール,#006aff,#71c5e8
二宮飛鳥,飛鳥,クール,#006aff,#5f259f
丹羽仁美,仁美,キュート,#ef2782,#a80826
野々村そら,そら,パッション,#f49207,#fc6e2e
服部瞳子,瞳子,クール,#006aff,#633aa1
浜川愛結奈,愛結奈,パッション,#f49207,#a42678
浜口あやめ,あやめ,パッション,#f49207,#440099
早坂美玲,美玲,キュート,#ef2782,#c800a1
速水奏,奏,クール,#006aff,#003087
原田美世,美世,キュート,#ef2782,#e94047
柊志乃,志乃,クール,#006aff,#ad1e66
久川凪,凪,パッション,#f49207,#f8a4bd
久川颯,颯,クール,#006aff,#7eddd3
日野茜,茜,パッション,#f49207,#f9423a
姫川友紀,友紀,パッション,#f49207,#ed8b00
兵藤レナ,レナ,キュート,#ef2782,#d8076b
福山舞,舞,キュート,#ef2782,#ff68b5
藤居朋,朋,クール,#006aff,#9b58c2
藤本里奈,里奈,キュート,#ef2782,#623b2a
藤原肇,肇,クール,#006aff,#9595d2
双葉杏,杏,キュート,#ef2782,#f8a3bc
古澤頼子,頼子,クール,#006aff,#3f3c8b
ヘレン,ヘレン,クール,#006aff,#c58e31
北条加蓮,加蓮,クール,#006aff,#2ad2c9
星輝子,輝子,パッション,#f49207,#a6093d
堀裕子,裕子,パッション,#f49207,#eca154
本田未央,未央,パッション,#f49207,#ffb81c
前川みく,みく,キュート,#ef2782,#ce0037
槙原志保,志保,パッション,#f49207,#f97f4b
松尾千鶴,千鶴,クール,#006aff,#99e3fc
松永涼,涼,クール,#006aff,#211551
松原早耶,早耶,キュート,#ef2782,#f743a6
松本沙理奈,沙理奈,クール,#006aff,#2943cb
松山久美子,久美子,パッション,#f49207,#ff7b2c
的場梨沙,梨沙,パッション,#f49207,#ff00a0
間中美里,美里,キュート,#ef2782,#d1f9e6
真鍋いつき,いつき,パッション,#f49207,#58eabd
水木聖來,聖來,クール,#006aff,#86dbff
水野翠,翠,クール,#006aff,#43a0ab
水本ゆかり,ゆかり,キュート,#ef2782,#eabedb
三船美優,美優,クール,#006aff,#12bfb2
三村かな子,かな子,キュート,#ef2782,#ffb1bb
宮本フレデリカ,フレデリカ,キュート,#ef2782,#a20067
三好紗南,紗南,パッション,#f49207,#45f05b
向井拓海,拓海,パッション,#f49207,#b0008e
棟方愛海,愛海,キュート,#ef2782,#c7579a
村上巴,巴,パッション,#f49207,#ab192c
村松さくら,さくら,キュート,#ef2782,#eb6174
メアリー・コクラン,メアリー,パッション,#f49207,#f196ff
持田亜里沙,亜里沙,キュート,#ef2782,#fd9286
望月聖,聖,クール,#006aff,#b7dde1
桃井あずき,あずき,キュート,#ef2782,#93256c
森久保乃々,乃々,クール,#006aff,#9cdbd9
諸星きらり,きらり,パッション,#f49207,#ffd100
楊菲菲,菲菲,キュート,#ef2782,#e56f66
八神マキノ,マキノ,クール,#006aff,#a6a4e0
矢口美羽,美羽,パッション,#f49207,#ec5800
柳清良,清良,キュート,#ef2782,#e7cbee
柳瀬美由紀,美由紀,キュート,#ef2782,#ff5d14
大和亜季,亜季,クール,#006aff,#28724f
結城晴,晴,クール,#006aff,#71dad4
遊佐こずえ,こずえ,キュート,#ef2782,#f4a6d7
夢見りあむ,りあむ,パッション,#f49207,#e89cdc
横山千佳,千佳,キュート,#ef2782,#fc87bf
吉岡沙紀,沙紀,クール,#006aff,#1b24c2
依田芳乃,芳乃,パッション,#f49207,#c4bcb7
ライラ,ライラ,クール,#006aff,#7ce0d3
龍崎薫,薫,パッション,#f49207,#fae053
若林智香,智香,パッション,#f49207,#fdff4e
脇山珠美,珠美,クール,#006aff,#407ec9
和久井留美,留美,クール,#006aff,#2e347e
